sighting_date,location
2017-10-25,Crookhaven
2017-10-24,Tory Island
2017-10-23,Ballinskelligs
2017-10-21,Tramore
2017-10-10,Dundalk
2017-10-09,Enniskillen
2017-10-01,Loop Head
2017-10-01,Dundalk
2017-09-30,Dunfanaghy
2017-09-26,Crookhaven
2017-09-23,Dundal
2017-09-23,Dundalk
2017-09-21,Dundalk
2017-09-18,Dundalk
2017-09-15,Dundalk
2017-09-14,Dundalk
2017-09-12,Dundalk
2017-09-12,Dundalk
2017-09-10,Dundalk
2017-09-08,Dundalk
2017-09-07,Ballinskelligs
2017-09-05,Dundalk
2017-09-02,Kilshannig
2017-09-02,Carranduff
2017-09-01,Cleggan
2017-08-30,The Lough
2017-08-30,Tralee
2017-08-28,Tralee
2017-08-28,Tralee
2017-08-27,Tralee
2017-08-26,Tralee
2017-08-26,Tralee
2017-08-24,Carrig Island
2017-08-22,Tralee
2017-08-21,Tralee
2017-08-20,Tralee
2017-08-19,Tralee
2017-08-17,Tralee
2017-08-17,Tralee
2017-08-12,Tralee
2017-08-12,Tory Island
2017-08-12,Loop Head
2017-08-12,Killybegs
2017-08-12,Malin Head
2017-08-11,Inishtrahull
2017-08-07,Bundoran
2017-08-05,Tory Island
2017-08-04,Tacumshin
2017-08-03,Great South Wall
2017-08-03,Killybegs
2017-08-01,Cork City
2017-08-01,Belmullet Peninsula
2017-08-01,Cromane
2017-07-30,Bray
2017-07-29,Belmullet Peninsula
2017-07-29,Ballycotton
2017-07-28,Cahermore
2017-07-26,Lissagriffin
2017-07-25,Crookhaven
2017-07-24,Dursey Sound
2017-07-22,Castletownbere
2017-07-20,Cashen
2017-07-18,Easky
2017-07-18,Cromane
2017-07-18,Killybegs
2017-07-15,Salthill
2017-07-14,Balbriggan
2017-07-12,Cromane
2017-07-11,Ballydonegan
2017-07-09,Balbriggan
2017-07-07,Loop Head
2017-06-24,Balbriggan
2017-06-10,Killybegs Harbour
2017-06-05,Quilty
2017-05-20,Bray
2017-05-07,Ballyconnell
2017-05-06,Streedagh
2017-05-05,Balbriggan
2017-04-02,Kinsale
2017-03-31,Ballyconnell
2017-03-30,Killybegs
2017-03-25,Tullaghan
2017-03-15,Helvick
2017-03-14,Killybegs
2017-03-04,Rusheen Bay
2017-02-28,Black Head
2017-02-19,Cromane
2017-02-18,Malin Head
2017-02-12,Cromane
2017-02-10,Bundoran
2017-02-10,Annagassan
2017-01-28,Ballyconnell
2017-01-24,Lough Swilly
2017-01-23,Raghly
2017-01-22,Cromane
2017-01-21,Spiddal
2017-01-21,Crookhaven
2017-01-09,Lough Swilly
2017-01-07,Ballycotton
2016-12-31,Tralee
2016-12-28,Bray
2016-12-27,Inis Téigil Mór / Inishdegil
2016-12-27,Rosslare Point
2016-12-27,Waterville
2016-12-23,Rosslare Bay
2016-12-17,Ballycotton
2016-12-15,Rosslare Point
2016-12-13,Skerries
2016-12-11,Furbo
2016-12-08,Clonakilty
2016-12-02,Skerries
2016-11-04,Tory Island
2016-11-04,Monkstown
2016-11-02,Yellow Strand
2016-10-31,Cromane
2016-10-24,Waterville
2016-10-17,Enniskillen
2016-10-14,Skerries
2016-10-11,Lenadoon Point
2016-10-10,Skerries
2016-10-10,Skeries
2016-10-09,Skerries
2016-10-08,Ballinskelligs
2016-10-05,Dalkey
2016-10-02,Crookhaven
2016-09-26,Skerries
2016-09-25,Lough Swilly
2016-09-20,Sligo Town
2016-09-20,Quilty
2016-09-15,Dalkey
2016-09-12,Skerries
2016-09-04,Staad Beach
2016-09-01,Lough Swilly
2016-08-20,Timoleague
2016-08-18,Skerries
2016-08-16,Aughinish
2016-08-15,Skerries
2016-08-15,Cashen
2016-08-15,Black Rock
2016-08-12,Murvagh
2016-08-11,Killybegs
2016-08-10,Sligo Town
2016-08-10,Dun Laoghaire
2016-08-09,Enniskillen
2016-08-08,Dalkey
2016-08-07,Crookhaven
2016-08-06,Dalkey
2016-08-05,Bray
2016-08-04,Enniskillen
2016-08-03,Kilcummin Beach
2016-07-30,Cashen
2016-07-30,Bray
2016-07-26,Bray
2016-07-26,St James Gate
2016-07-25,Crookhaven
2016-07-25,Crookhaven
2016-07-23,Easkey
2016-07-23,Fanad Head
2016-07-21,Crookhaven
2016-07-20,Rosslare Bay
2016-07-19,Arranmore
2016-07-19,Mountcharles
2016-07-18,Roonagh Lough
2016-07-15,Inishbofin
2016-07-14,Carraroe
2016-07-13,Blanket Nook
2016-07-12,Dundalk
2016-07-09,Dundalk
2016-07-08,Dundalk
2016-07-05,Dundalk
2016-07-03,Dundalk
2016-07-03,Blennerville
2016-07-02,Crusietown
2016-07-02,Blennerville
2016-06-27,Blennerville
2016-06-26,Blennerville
2016-06-24,Dundalk
